Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72103806,1,"Saturday, November  9, 2013 01:51:19 UTC",39.7797,-120.6797,2.0,9.40,14,"Northern California"
ci,11389362,2,"Saturday, November  9, 2013 01:50:43 UTC",33.9982,-117.2207,1.3,12.40,34,"Greater Los Angeles area, California"
ak,10841882,1,"Saturday, November  9, 2013 01:48:17 UTC",61.9666,-144.2364,1.7,4.70, 6,"Southern Alaska"
ak,10841874,1,"Saturday, November  9, 2013 01:46:30 UTC",60.4327,-152.6919,2.5,100.00,37,"Southern Alaska"
ci,11389354,2,"Saturday, November  9, 2013 01:45:07 UTC",33.9972,-117.2192,1.1,12.10,12,"Greater Los Angeles area, California"
ci,11389346,2,"Saturday, November  9, 2013 01:44:44 UTC",34.0110,-117.2032,1.1,5.20,18,"Greater Los Angeles area, California"
ci,11389338,2,"Saturday, November  9, 2013 01:36:45 UTC",33.9982,-117.2102,1.2,11.30,25,"Greater Los Angeles area, California"
ci,11389330,2,"Saturday, November  9, 2013 01:32:54 UTC",33.9967,-117.2173,1.6,11.90,65,"Greater Los Angeles area, California"
nc,72103801,1,"Saturday, November  9, 2013 01:30:39 UTC",39.7795,-120.6835,2.5,11.90,22,"Northern California"
nc,72103796,0,"Saturday, November  9, 2013 01:27:31 UTC",36.5860,-121.1890,1.6,2.60,11,"Central California"
ci,11389314,2,"Saturday, November  9, 2013 01:17:11 UTC",33.5107,-116.4675,1.0,10.20,23,"Southern California"
nc,72103776,3,"Saturday, November  9, 2013 01:11:09 UTC",39.7807,-120.6837,3.1,11.70,21,"Northern California"
nc,72103771,0,"Saturday, November  9, 2013 01:09:21 UTC",38.8093,-122.8158,1.1,3.30,13,"Northern California"
ci,11389306,2,"Saturday, November  9, 2013 01:01:28 UTC",33.9957,-117.2153,1.6,12.60,50,"Greater Los Angeles area, California"
ci,11389298,3,"Saturday, November  9, 2013 00:58:46 UTC",33.9973,-117.2165,2.9,12.80,117,"Greater Los Angeles area, California"
ci,11389290,2,"Saturday, November  9, 2013 00:46:37 UTC",33.9962,-117.2183,1.3,11.80,27,"Greater Los Angeles area, California"
nc,72103751,0,"Saturday, November  9, 2013 00:27:25 UTC",40.5590,-121.6555,1.4,8.60, 6,"Northern California"
nc,72103746,0,"Saturday, November  9, 2013 00:20:18 UTC",38.8038,-122.7903,1.0,1.70,16,"Northern California"
ak,10841828,1,"Saturday, November  9, 2013 00:13:54 UTC",65.0010,-147.3092,1.2,0.10, 7,"northern Alaska"
uw,60626906,1,"Saturday, November  9, 2013 00:09:05 UTC",44.1000,-123.4077,1.0,0.00,11,"Oregon"
ak,10841822,1,"Saturday, November  9, 2013 00:04:11 UTC",63.4030,-148.3209,1.0,17.90,10,"Central Alaska"
ci,11389282,2,"Saturday, November  9, 2013 00:01:35 UTC",33.3220,-116.3882,1.4,6.30,18,"Southern California"
nc,72103731,1,"Friday, November  8, 2013 23:57:20 UTC",37.4920,-118.8355,1.8,7.70,27,"Central California"
nc,72103726,1,"Friday, November  8, 2013 23:54:22 UTC",38.8162,-122.7930,1.2,2.90,22,"Northern California"
ak,10841809,1,"Friday, November  8, 2013 23:52:13 UTC",61.4129,-150.7342,2.5,50.30,47,"Southern Alaska"
ak,10841803,1,"Friday, November  8, 2013 23:41:25 UTC",63.1892,-151.3528,1.3,13.20, 8,"Central Alaska"
ci,11389266,2,"Friday, November  8, 2013 23:22:18 UTC",32.5308,-115.7932,1.8,3.90,21,"Baja California, Mexico"
ci,11389258,2,"Friday, November  8, 2013 23:18:23 UTC",33.2697,-116.0017,1.4,8.70,21,"Southern California"
ci,11389250,2,"Friday, November  8, 2013 22:47:35 UTC",33.8995,-116.7518,1.8,16.40,53,"Southern California"
ak,10841781,1,"Friday, November  8, 2013 22:28:05 UTC",61.4909,-141.6283,1.4,0.10,13,"Southern Alaska"
uw,60626841,1,"Friday, November  8, 2013 22:15:03 UTC",49.3237,-120.5597,2.4,0.00,14,"British Columbia, Canada"
ci,11389234,2,"Friday, November  8, 2013 22:10:45 UTC",33.0170,-116.4348,1.8,11.70,54,"Southern California"
nc,72103636,0,"Friday, November  8, 2013 21:46:28 UTC",37.9197,-122.2970,1.2,0.50, 8,"San Francisco Bay area, California"
ci,11389226,2,"Friday, November  8, 2013 21:13:29 UTC",34.7067,-116.2972,1.7,2.20,18,"Southern California"
